2022-06-28 08:54:28 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 08:54:28 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 08:54:28 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 08:54:28 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 08:54:28 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 08:54:46 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-28 09:21:10 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 09:21:10 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 09:21:10 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:21:10 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:21:10 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 09:21:40 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-28 09:21:52 | 127.0.0.1 | POST | 200 - - | /users/CheckToken 
2022-06-28 09:23:02 | 127.0.0.1 | POST | 200 - - | /users/CheckToken 
2022-06-28 09:24:06 | 127.0.0.1 | POST | 200 - - | /users/CheckToken 
2022-06-28 09:29:44 | 127.0.0.1 | POST | 400 - - | /users/CheckToken 
2022-06-28 09:29:52 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 09:29:52 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 09:29:52 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:29:52 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:29:52 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:29:52 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:29:52 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 09:32:11 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 09:32:11 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 09:32:11 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:32:11 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:32:11 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 09:32:28 | 127.0.0.1 | POST | 400 - - | /users/Login 
2022-06-28 09:33:22 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 09:33:22 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 09:33:22 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:33:22 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:33:22 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 09:33:34 | 127.0.0.1 | POST | 400 - - | /users/Login 
2022-06-28 09:34:00 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 09:34:00 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 09:34:00 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:34:00 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:34:00 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 09:34:13 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-28 09:35:27 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 09:35:27 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 09:35:27 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:35:27 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:35:27 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
